Genus;Species;Center Lat;Center Long;C-Square;Depth (m);Surface Water Temp. (°C);Bottom Water Temp. (°C);Surface Salinity (psu);Bottom Salinity (psu);Primary Production (mgC·m-3·day-1);Sea Ice Concentration (0-1 fraction);Dissolved Bottom Oxygen (mmol·m-3);Distance to Land (km)
Sardinella;aurita;-3.75;11.25;3001:131:3;22;25.82335091;24.01792526;25.93437195;35.29040146;19.10093985;0;191.3314819;6
Sardinella;aurita;-3.25;9.25;3000:239:1;1445;26.07154465;3.901465893;32.44654846;34.93042755;13.41800019;0;205.1349182;129
Sardinella;aurita;-3.25;10.25;3001:130:1;79;25.64473343;25.8381443;31.04796791;35.54652405;14.71200027;0;218.5408325;27
Sardinella;aurita;-3.25;10.75;3001:130:2;108;25.91604233;23.7130394;28.38229942;35.28219604;16.74561761;0;188.5979309;8
Sardinella;aurita;-2.75;9.75;3000:229:4;76;25.75888824;23.06378555;31.08597946;35.79232025;13.33499979;0;197.6193085;26
Sardinella;aurita;-1.75;7.75;3000:217:4;2836;26.39542389;2.543828011;33.3511734;34.91881561;9.925999679;0;235.4097443;180
Sardinella;aurita;-1.75;8.25;3000:218:3;2021;26.32114029;3.577308893;32.82585907;34.96492004;10.18199977;0;222.2436523;134
Sardinella;aurita;-1.75;9.25;3000:219:3;88;26.0395298;26.4362812;30.80861282;34.3461113;13.14400043;0;210.903656;18
Sardinella;aurita;-1.25;8.75;3000:218:2;155;26.37699318;25.17261696;30.84427261;35.5874176;12.04700023;0;217.1028595;28
Sardinella;aurita;-0.75;8.75;3000:208:4;233;26.73054504;27.12695885;30.16340256;33.92131424;15.34599997;0;209.709198;25
Sardinella;aurita;-0.25;9.25;3000:209:1;31;27.13526344;27.40865326;29.196661;33.44683838;13.30600027;0;209.0520325;19
Sardinella;aurita;-0.25;6.75;3000:206:2;2903;27.01426888;2.311397076;33.05747986;34.90637589;6.134999916;0;235.0173645;111
Sardinella;aurita;0.25;5.25;1000:205:1;3711;27.26128387;2.098753929;33.8173027;34.8990097;6.411000155;0;235.4026184;222
Sardinella;aurita;0.25;6.75;1000:206:2;1148;27.27563477;8.010341644;32.84787369;34.65818024;4.922000226;0;67.72705841;22
Sardinella;aurita;0.25;9.25;1000:209:1;34;27.37114716;27.51321411;28.49863625;32.91075516;11.63700037;0;208.8387909;25
Sardinella;aurita;1.25;9.25;1000:219:1;377;27.62032127;27.86450195;25.87166405;33.90392303;6.016000174;0;221.7342224;27
Sardinella;aurita;1.75;9.25;1000:219:3;1196;27.71026993;5.477797985;25.28769875;34.5338707;4.608000163;0;106.9058609;83
Sardinella;aurita;1.75;9.75;1000:219:4;247;27.64644432;27.47749138;24.11042404;31.66990471;12.36807089;0;208.2980652;13
Sardinella;aurita;2.25;9.75;1000:229:2;444;27.74354935;27.82567978;22.96915436;31.16138649;12.68499997;0;209.4199524;19
Sardinella;aurita;2.75;9.25;1000:229:3;1490;27.86258507;4.316030979;26.5461483;34.81497574;2.642000094;0;181.1830902;83
Sardinella;aurita;3.25;9.75;1000:239:2;61;27.8527298;28.1750164;22.3724575;33.27612686;7.517999969;0;222.8787994;26
Sardinella;aurita;3.25;4.75;1000:134:2;3280;27.97602463;2.29893589;33.74625015;34.91081619;6.723999977;0;236.2515717;208
Sardinella;aurita;3.75;-10.25;7001:130:3;4026;28.13908958;1.870774031;34.55976105;34.88193893;2.006999915;0;243.0598145;208
Sardinella;aurita;3.75;9.25;1000:239:3;102;27.9542141;28.70307159;23.02956009;33.33899689;11.58200018;0;220.2818909;27
Sardinella;aurita;3.75;-5.25;7000:235:3;3912;27.88356781;1.995987058;34.5042038;34.88785172;15.28600045;0;241.2818604;173
Sardinella;aurita;4.25;8.25;1000:248:1;31;27.91189957;23.5845623;25.92296982;34.85951614;1.749000046;0;199.03685;83
Sardinella;aurita;4.25;8.75;1000:248:2;110;27.92451859;28.93787003;24.42519569;33.37188721;3.724999959;0;222.3633118;27
Sardinella;aurita;4.25;-7.75;7000:247:2;696;27.76987457;18.40420532;33.92099762;35.70812225;13.62499967;0;94.28594208;25
Sardinella;aurita;4.25;-0.25;7000:140:1;4378;27.63907814;1.842089057;34.54590225;34.87599182;22.09199965;0;237.1302643;148
Sardinella;aurita;4.25;-1.75;7000:141:2;1020;27.4540329;10.67752266;34.48155212;35.04244614;30.96400015;0;45.92642212;97
Sardinella;aurita;4.25;5.25;1000:245:1;385;28.05521584;16.91852951;30.69812965;35.77907181;9.259000421;0;86.32579041;96
Sardinella;aurita;4.25;6.25;1000:246:1;12;27.94161606;29.00278473;28.85415649;33.51557922;11.89600024;0;214.599884;22
Sardinella;aurita;4.25;6.75;1000:246:2;17;27.89378929;28.80182648;27.96509552;33.88333511;10.82799956;0;220.0475769;23
Sardinella;aurita;4.25;7.75;1000:247:2;31;27.88664246;28.16018486;26.6758213;33.48231888;2.543000039;0;223.3390198;83
Sardinella;aurita;4.75;-51.75;7005:141:4;49;27.98382759;28.11914444;23.53014183;35.37049484;23.12099934;0;215.484848;26
Sardinella;aurita;4.75;-6.75;7000:246:4;124;26.87981224;27.37140656;33.84325027;34.63060379;53.77800018;0;206.6826172;13
Sardinella;aurita;4.75;-7.25;7000:247:3;2;27.12535286;26.02675438;33.70219421;34.73744965;42.66208783;0;193.625946;2
Sardinella;aurita;4.75;-8.25;7000:248:3;50;27.60131264;25.36931801;33.52588272;34.83910751;21.22781612;0;189.1812592;8
Sardinella;aurita;4.75;-9.25;7000:249:3;349;27.94516945;16.14845467;33.5844841;35.67781067;7.91299995;0;59.62492371;51
Sardinella;aurita;4.75;-1.75;7000:141:4;43;27.00889587;20.48271751;34.39186478;35.82811356;47.29900137;0;123.6952438;24
Sardinella;aurita;4.75;-2.25;7000:142:3;118;27.15652466;20.40960693;34.10822678;35.82341766;33.54400024;0;118.8471985;22
Sardinella;aurita;4.75;-2.75;7000:142:4;452;27.21494102;17.50582123;34.23199844;35.8007164;33.41700137;0;72.55609894;51
Sardinella;aurita;4.75;-5.75;7000:245:4;972;26.98294067;4.57739687;34.19381332;34.65045166;51.40699819;0;148.2698669;51
Sardinella;aurita;4.75;-6.25;7000:246:3;630;26.86566734;25.66171265;33.98700333;35.12591553;58.01299959;0;182.1877289;23
Sardinella;aurita;5.25;-4.25;7000:354:1;292;26.89608955;25.60950851;34.2264061;35.06915665;51.42400041;0;194.3682251;14
Sardinella;aurita;5.25;-4.75;7000:354:2;92;26.92613792;24.50011635;34.0859108;35.0155983;50.60478672;0;194.0574493;11
Sardinella;aurita;5.25;-52.75;7005:352:2;17;27.70601273;27.7654705;26.84012604;31.94462776;29.58199941;0;212.3627319;12
Sardinella;aurita;5.25;0.25;1000:350:1;2171;27.2180748;2.713536024;34.43334961;34.93760681;29.17000093;0;237.4545746;84
Sardinella;aurita;5.25;5.25;1000:455:1;67;27.988451;28.08908081;28.5512867;34.53065872;10.96499991;0;211.1867523;24
Sardinella;aurita;5.25;-5.25;7000:455:1;26;26.95119286;24.21897125;33.92825317;34.96085739;49.85466227;0;194.0721283;9
